,Arfgef1,Myo1b,Gm973,Cyp20a1,Cxcr1,Zp3r,Cacna1s,Atf6,Fmn2,Clic3,Pkn3,Lrrc55,Olfr1225,Lgr4,Mertk,Spinlw1,4930443G12Rik,Usp24,Akap9,Scarb1,Clcn1,Kbtbd2,Alms1,Tprkb,Zfp9,Fkbp4,Clec12a,Tmtc1,Crxos1,Herc2,Ttll13,St5,Acsm1,Acadsb,Muc5b,Efha2,Ntpcr,Dpy19l2,Ncapd3,Mpzl2,Mmp11,Ap3d1,Ric8b,Utp20,Ptprq,Osbp2,Abca13,Adamts2,Hic1,Plekhm1,Itgb1bp1,Fancm,Ppp1r36,Vmn1r200,Cntnap3,Naip1,Psme1,Dpysl2,2410089E03Rik,Zdhhc8,Dvl3,Prss41,Col11a2,Spink10,Olfr1475
Pkn3,0.435538023555022,0.689208527347839,0.883895408113116,0.625924173874901,0.636382411429272,0.447780875252096,0.426850583172832,0.426443400541392,0.471256624008742,0.408528870573427,1,0.922257581431418,0.922257581431418,0.892597525855735,0.892597525855735,0.749687217009446,0.351830536671815,0.906360978504835,0.352229701419945,0.7099056001723,0.153666386205593,0.191533591559169,0.16128729312566,0.16128729312566,0.202944369938809,0.395671632347513,0.395671632347513,0.850129939724217,0.4824454684023,0.597727198838554,0.288970156943968,0.67123967433141,0.701215739314036,0.729449708565044,0.936852992338257,0.837108527774673,0.343852874257919,0.168292260832611,0.168292260832611,0.375987278841797,0.132750975896381,0.132750975896381,0.132750975896381,0.132750975896381,0.101179762549723,0.830647143150477,0.779945221871843,0.208315547230425,0.25624081842622,0.99333050689084,0.457990789892089,0.393711217938851,0.434406782179183,0.596946574535796,0.55092346266325,0.983373488108903,0.954739124751047,0.954739124751047,0.193877748579186,0.78595118583894,0.551386459285838,0.189526803493711,0.744312494842412,0.673033154366917,0.83073172160294
Lrrc55,0.627338697380754,0.0827864098343029,0.438475257671139,0.0598322266824067,0.11703941732578,0.956428449876658,0.989916129398889,0.588806417202149,0.588806417202149,0.779289125437798,0.922257581431418,1,1,0.962943865813058,0.962943865813058,0.400842114756397,0.932834223905876,0.292686784477202,0.702913980259093,0.0209780595547347,0.203417700575668,0.133494521434218,0.0434687351440847,0.0434687351440847,0.0646376061709042,0.00105995858897459,0.00105995858897459,0.148826373386378,0.965765222949296,0.639659807522703,0.340642648268396,0.780498031879691,0.289970271124582,0.287579155018229,0.463430909506561,0.828225188225406,0.990897284133952,0.106100937582951,0.106100937582951,0.0486629608970672,0.500591195550276,0.500591195550276,0.500591195550276,0.500591195550276,0.525450972306127,0.989201108490333,0.904787007208002,0.962923314455848,0.951045911113381,0.0900759589813504,0.798274131744683,0.965768581825533,0.965768581825533,0.467460609837775,0.343668781769378,0.39512546568478,0.527339881763827,0.527339881763827,0.86199004625234,0.411987753108266,0.582680336408363,0.701565722461232,0.615629161334602,0.19147518206189,0.840688569643658
Olfr1225,0.627338697380754,0.0827864098343029,0.193644525993849,0.0598322266824067,0.11703941732578,0.956428449876658,0.989916129398889,0.588806417202149,0.588806417202149,0.779289125437798,0.922257581431418,1,1,0.962943865813058,0.962943865813058,0.400842114756397,0.932834223905876,0.102035769829903,0.702913980259093,0.00271832286953757,0.203417700575668,0.133494521434218,0.0434687351440847,0.0434687351440847,0.0646376061709042,5.15745439178044e-05,5.15745439178044e-05,0.048031642725667,0.965765222949296,0.639659807522703,0.340642648268396,0.780498031879691,0.101951269955783,0.0991730757035125,0.185898582372014,0.462641314994635,0.990897284133952,0.106100937582951,0.106100937582951,0.00993278709131981,0.500591195550276,0.500591195550276,0.500591195550276,0.500591195550276,0.525450972306127,0.594627225068399,0.47215910981707,0.962923314455848,0.424516563279253,0.0232144888176191,0.798274131744683,0.965768581825533,0.965768581825533,0.467460609837775,0.343668781769378,0.151976266623623,0.245428966870158,0.245428966870158,0.86199004625234,0.411987753108266,0.582680336408363,0.701565722461232,0.615629161334602,0.19147518206189,0.840688569643658
Lgr4,0.439807998376709,0.0633638178373354,0.29200781311917,0.0444185245223611,0.138502979305481,0.794827011035956,0.782810142176706,0.447092589877827,0.447092589877827,0.755037824612569,0.892597525855735,0.962943865813058,0.962943865813058,1,1,0.324577372389281,0.779142763481844,0.105992355966262,0.611367268338084,0.00328472146767662,0.224655725715341,0.155752036547459,0.041420466299185,0.041420466299185,0.0640186179327882,5.39736770458631e-05,5.39736770458631e-05,0.0630390464816863,0.97265458377036,0.656388692196889,0.352484487406298,0.801607584084286,0.109145290055615,0.138246501549067,0.202401204424499,0.332524997500834,0.913174339894832,0.043465057796588,0.043465057796588,0.0102958961384241,0.497392022631685,0.497392022631685,0.497392022631685,0.497392022631685,0.521491343202259,0.741596048830796,0.633049051784042,0.796784740019755,0.477831197575925,0.0206796792813791,0.785287067182498,0.972595453847407,0.972595453847407,0.326445678972604,0.268083324448575,0.1379189941792,0.228905258013996,0.228905258013996,0.866871505150738,0.331497848572592,0.602568975543794,0.905000318780042,0.495632077132323,0.228816461439075,0.85381310933523
Mertk,0.439807998376709,0.0633638178373354,0.559754491262669,0.0444185245223611,0.138502979305481,0.794827011035956,0.782810142176706,0.447092589877827,0.447092589877827,0.755037824612569,0.892597525855735,0.962943865813058,0.962943865813058,1,1,0.324577372389281,0.779142763481844,0.292858654720428,0.611367268338084,0.0222400533611904,0.224655725715341,0.155752036547459,0.041420466299185,0.041420466299185,0.0640186179327882,0.000953058041170252,0.000953058041170252,0.173409006536711,0.97265458377036,0.656388692196889,0.352484487406298,0.801607584084286,0.309904046645373,0.356300221482234,0.486522867733367,0.678592905454584,0.913174339894832,0.043465057796588,0.043465057796588,0.0474572814234982,0.497392022631685,0.497392022631685,0.497392022631685,0.497392022631685,0.521491343202259,0.858167385952019,0.902644651152963,0.796784740019755,0.952976165184369,0.0790739190600944,0.785287067182498,0.972595453847407,0.972595453847407,0.326445678972604,0.268083324448575,0.362260415053094,0.5106043079239,0.5106043079239,0.866871505150738,0.331497848572592,0.602568975543794,0.905000318780042,0.495632077132323,0.228816461439075,0.85381310933523
Spinlw1,0.639354106465501,0.155055205057316,0.283123730612314,0.157418211521902,0.161739013880741,0.870459390568378,0.898146836210718,0.876127721870643,0.876127721870643,0.883495300950658,0.749687217009446,0.400842114756397,0.400842114756397,0.324577372389281,0.324577372389281,1,0.641318682153969,0.0572540006238787,0.245229388234541,0.00285973441493321,0.388938645440358,0.324329110531109,0.146976489498463,0.146976489498463,0.146976489498463,0.00264154403952445,0.00264154403952445,0.00112426825132576,0.338596403966706,0.374222928821614,0.667734922427747,0.715032906823191,0.29673213310558,0.293291225657124,0.373363995518837,0.0456449681285829,0.72814063325783,0.103754958344999,0.103754958344999,0.0688792592502959,0.763632633070834,0.763632633070834,0.763632633070834,0.763632633070834,0.748465954757765,0.980840567703562,0.938460161176077,0.256274478144979,0.408464150682078,0.483172061792889,0.456538713311601,0.227144074571232,0.227144074571232,0.484365406570222,0.382615160761484,0.99841699023963,0.932586386259413,0.932586386259413,0.808477058158073,0.547975271074438,0.235029838315009,0.530624965299393,0.242623697990713,0.431128798312757,0.336451503483031
4930443G12Rik,0.180296205626389,0.931214891471594,0.425357472716672,0.979498585264948,0.993391186400594,0.179832579976627,0.167185883600922,0.0927282571393095,0.106712239056313,0.275404057373891,0.351830536671815,0.932834223905876,0.932834223905876,0.779142763481844,0.779142763481844,0.641318682153969,1,0.558661932090387,0.161165370517484,0.309774425721279,0.387486480634756,0.288472954204693,0.3155873696465,0.3155873696465,0.3155873696465,0.790263309036513,0.790263309036513,0.358765634265845,0.0543169079668452,0.0863318334362808,0.251005384520465,0.148280062510487,0.441121917705995,0.444626654577428,0.591482121279158,0.572137071657359,0.0991711139256763,0.398957797735589,0.398957797735589,0.788809988585784,0.414463439188987,0.414463439188987,0.414463439188987,0.414463439188987,0.36128746728369,0.617047602665511,0.556551117936264,0.430721682267594,0.369374875545567,0.913398927299539,0.119742742982365,0.0186106535192191,0.0280517652995297,0.380381377715282,0.296669795912174,0.743413546447897,0.924545253890635,0.924545253890635,0.0605262866909085,0.598157299311373,0.288522075120472,0.441994544538663,0.85770452007495,0.939502936433338,0.909178871382689
Usp24,0.869171940287507,0.0439489880415111,0.84823057806686,0.0543251542200259,0.180338156926242,0.834568460698958,0.770226447221074,0.801183318978904,0.801183318978904,0.746998616429406,0.906360978504835,0.292686784477202,0.102035769829903,0.105992355966262,0.292858654720428,0.0572540006238787,0.558661932090387,1,0.549352455027925,0.666571932935881,0.737797972149087,0.851555089432473,0.635274542793429,0.635274542793429,0.858648955965273,0.341601444633544,0.341601444633544,0.829842817406815,0.698315188251759,0.731969985447639,0.815466129911937,0.971494669916799,0.500852105492286,0.488269834650119,0.503636512648967,0.757388781108666,0.658890168077382,0.705309618091427,0.705309618091427,0.13196796762355,0.993322382031879,0.993322382031879,0.993322382031879,0.993322382031879,0.897972669907695,0.283425504668951,0.206449516731379,0.261291577683071,0.154240896576451,0.126034883347473,0.457489451527932,0.478025292088473,0.478025292088473,0.728735854654411,0.480024653865301,0.0485913906615763,0.102394189686983,0.102394189686983,0.882937947260964,0.212876112413035,0.554622452713797,0.946933268715446,0.110767299913239,0.0933996981394313,0.260201069768666
Akap9,0.237242345956818,0.979513524516116,0.676134271741156,0.90748294526449,0.895688672895848,0.247726935917367,0.267627987644073,0.256124610175399,0.256124610175399,0.292208443023221,0.352229701419945,0.702913980259093,0.702913980259093,0.611367268338084,0.611367268338084,0.245229388234541,0.161165370517484,0.549352455027925,1,0.495167246680021,0.243765361916648,0.308255597706473,0.40228990759076,0.40228990759076,0.467054959388851,0.946905060907381,0.946905060907381,0.717323677885079,0.825637336227684,0.818730834901628,0.522768674574014,0.492121251258607,0.845907723482786,0.858227856730283,0.742923863229143,0.845902973300537,0.641587319460619,0.314697302621413,0.314697302621413,0.673663110017551,0.41728038177095,0.41728038177095,0.41728038177095,0.41728038177095,0.567345819971464,0.475945697770019,0.458441188945113,0.0274739220887226,0.112251038111498,0.603583269716917,0.742893865711287,0.718122634870889,0.718122634870889,0.0687464236002023,0.0847881783162268,0.247350780518542,0.425438536089749,0.425438536089749,0.519600982584995,0.47717931459875,0.808720179120055,0.116684347647286,0.669814044889408,0.480878198492972,0.760147445868971
Scarb1,0.774133566815905,0.00385667020749757,0.660281561540187,0.00649928526465766,0.0355977892335858,0.687149179643743,0.61012767184219,0.585137769310952,0.585137769310952,0.469493674466551,0.7099056001723,0.0209780595547347,0.00271832286953757,0.00328472146767662,0.0222400533611904,0.00285973441493321,0.309774425721279,0.666571932935881,0.495167246680021,1,0.596734835871244,0.698136526759489,0.422484499242876,0.422484499242876,0.940904872110148,0.320764463015125,0.320764463015125,0.83390227705036,0.584407024121824,0.550137703363851,0.960872421434607,0.874731622956223,0.419478511926057,0.440276033720154,0.434524459733738,0.567267977198765,0.545818173951407,0.635114214534221,0.635114214534221,0.138685481147446,0.874192213948144,0.874192213948144,0.874192213948144,0.874192213948144,0.932608009310689,0.102055355497596,0.0982336930754991,0.156380349859635,0.00730292968522871,0.0987560143475702,0.426106148426215,0.431894982813453,0.431894982813453,0.510676481065986,0.49242866973146,0.0491288210099323,0.0583311150126613,0.0583311150126613,0.909375106530811,0.0124284072412047,0.576591559948796,0.764797435477986,0.00703656892074951,0.0024862685458888,0.0232906203871873
