,Arfgef1,Myo1b,Gm973,Cyp20a1,Cxcr1,Zp3r,Cacna1s,Atf6,Fmn2,Clic3,Pkn3,Lrrc55,Olfr1225,Lgr4,Mertk,Spinlw1,4930443G12Rik,Usp24,Akap9,Scarb1,Clcn1,Kbtbd2,Alms1,Tprkb,Zfp9,Fkbp4,Clec12a,Tmtc1,Crxos1,Herc2,Ttll13,St5,Acsm1,Acadsb,Muc5b,Efha2,Ntpcr,Dpy19l2,Ncapd3,Mpzl2,Mmp11,Ap3d1,Ric8b,Utp20,Ptprq,Osbp2,Abca13,Adamts2,Hic1,Plekhm1,Itgb1bp1,Fancm,Ppp1r36,Vmn1r200,Cntnap3,Naip1,Psme1,Dpysl2,2410089E03Rik,Zdhhc8,Dvl3,Prss41,Col11a2,Spink10,Olfr1475
Olfr1225,0.892215421455035,0.472872815541684,0.0141066727948137,0.683994316890565,0.770318366728116,0.937406587301463,0.937406587301463,0.843934848215476,0.843934848215476,0.887531710093233,0.527718223048869,0.683994316890565,1,0.979893741431456,0.979893741431456,0.979893741431456,0.42407770032122,0.303521248093676,0.852447109017226,0.472872815541684,0.261751314192802,0.261751314192802,0.843934848215476,0.843934848215476,0.843934848215476,0.683994316890565,0.683994316890565,0.328356048036908,0.552525156538234,0.770318366728116,0.770318366728116,0.770318366728116,0.552525156538234,0.552525156538234,0.303521248093676,0.328356048036908,0.346011740586029,0.843934848215476,0.843934848215476,0.261751314192802,0.472872815541684,0.472872815541684,0.472872815541684,0.472872815541684,0.106928879870288,0.736578932665401,0.887531710093233,0.960851630558181,0.683994316890565,0.552525156538234,0.472872815541684,0.683994316890565,0.843934848215476,0.713994447329885,0.328356048036908,0.42178542249926,0.16259286640736,0.16259286640736,0.852447109017226,0.787545171418371,0.843934848215476,0.527718223048869,0.328356048036908,0.552525156538234,0.937406587301463
Lgr4,0.968927064834105,0.683994316890565,0.0141066727948137,0.843934848215476,0.770318366728116,0.937406587301463,0.979893741431456,0.937406587301463,0.937406587301463,0.960851630558181,0.852447109017226,0.979893741431456,0.979893741431456,1,0.937406587301463,0.979893741431456,0.892215421455035,0.770318366728116,0.992709291736675,0.843934848215476,0.472872815541684,0.472872815541684,0.979893741431456,0.979893741431456,0.979893741431456,0.937406587301463,0.937406587301463,0.328356048036908,0.770318366728116,0.970487277106031,0.970487277106031,0.992707816412492,0.970487277106031,0.906989691064539,0.770318366728116,0.713994447329885,0.346011740586029,0.979893741431456,0.979893741431456,0.472872815541684,0.683994316890565,0.683994316890565,0.683994316890565,0.683994316890565,0.472872815541684,0.887531710093233,0.960851630558181,0.997333456873101,0.683994316890565,0.906989691064539,0.843934848215476,0.843934848215476,0.843934848215476,0.852447109017226,0.328356048036908,0.818866607863273,0.527718223048869,0.527718223048869,0.935587503197374,0.905611412124874,0.937406587301463,0.713994447329885,0.527718223048869,0.906989691064539,0.994914452487515
Mertk,0.892215421455035,0.683994316890565,0.0141066727948137,0.843934848215476,0.552525156538234,0.843934848215476,0.937406587301463,0.843934848215476,0.843934848215476,0.887531710093233,0.713994447329885,0.937406587301463,0.979893741431456,0.937406587301463,1,0.937406587301463,0.71322158690387,0.770318366728116,0.976326311596056,0.843934848215476,0.472872815541684,0.472872815541684,0.979893741431456,0.979893741431456,0.937406587301463,0.937406587301463,0.937406587301463,0.328356048036908,0.552525156538234,0.906989691064539,0.906989691064539,0.970487277106031,0.970487277106031,0.906989691064539,0.770318366728116,0.713994447329885,0.132820916677419,0.937406587301463,0.937406587301463,0.472872815541684,0.472872815541684,0.472872815541684,0.472872815541684,0.472872815541684,0.261751314192802,0.887531710093233,0.960851630558181,0.988783028830541,0.683994316890565,0.906989691064539,0.683994316890565,0.683994316890565,0.683994316890565,0.713994447329885,0.16259286640736,0.818866607863273,0.527718223048869,0.527718223048869,0.852447109017226,0.787545171418371,0.843934848215476,0.713994447329885,0.527718223048869,0.770318366728116,0.979893741431456
Spinlw1,0.42407770032122,0.261751314192802,0.16259286640736,0.472872815541684,0.552525156538234,0.683994316890565,0.683994316890565,0.937406587301463,0.937406587301463,0.736578932665401,0.527718223048869,0.937406587301463,0.979893741431456,0.979893741431456,0.937406587301463,1,0.71322158690387,0.770318366728116,0.852447109017226,0.472872815541684,0.472872815541684,0.472872815541684,0.843934848215476,0.843934848215476,0.843934848215476,0.843934848215476,0.843934848215476,0.713994447329885,0.906989691064539,0.770318366728116,0.906989691064539,0.906989691064539,0.906989691064539,0.770318366728116,0.770318366728116,0.935587503197374,0.346011740586029,0.843934848215476,0.843934848215476,0.261751314192802,0.472872815541684,0.472872815541684,0.472872815541684,0.472872815541684,0.261751314192802,0.736578932665401,0.736578932665401,0.887531710093233,0.683994316890565,0.552525156538234,0.843934848215476,0.937406587301463,0.937406587301463,0.527718223048869,0.16259286640736,0.42178542249926,0.16259286640736,0.16259286640736,0.935587503197374,0.787545171418371,0.843934848215476,0.527718223048869,0.328356048036908,0.770318366728116,0.937406587301463
4930443G12Rik,1,0.42407770032122,0.242230655708756,0.42407770032122,0.343608915805817,0.42407770032122,0.42407770032122,0.13493381373857,0.13493381373857,0.448795318603516,0.060557663927189,0.13493381373857,0.42407770032122,0.892215421455035,0.71322158690387,0.71322158690387,1,0.343608915805817,0.501763501110994,0.42407770032122,0.71322158690387,0.71322158690387,0.71322158690387,0.71322158690387,0.71322158690387,0.71322158690387,0.71322158690387,0.501763501110994,0.343608915805817,0.343608915805817,0.343608915805817,0.343608915805817,0.343608915805817,0.343608915805817,0.343608915805817,0.060557663927189,0.392695903778076,0.71322158690387,0.71322158690387,0.71322158690387,0.42407770032122,0.42407770032122,0.42407770032122,0.42407770032122,0.13493381373857,0.448795318603516,0.448795318603516,0.833477020263672,0.42407770032122,0.343608915805817,0.13493381373857,0.42407770032122,0.71322158690387,0.242230655708756,0.060557663927189,0.176240083250377,0.060557663927189,0.060557663927189,0.501763501110994,0.15421007284408,0.13493381373857,0.501763501110994,0.242230655708756,0.343608915805817,0.42407770032122
Usp24,0.343608915805817,0.110468128260975,0.0571170262885003,0.110468128260975,0.0499093162361532,0.552525156538234,0.552525156538234,0.770318366728116,0.906989691064539,0.46263021853224,0.181406642610526,0.303521248093676,0.303521248093676,0.770318366728116,0.770318366728116,0.770318366728116,0.343608915805817,1,0.380419471297095,0.303521248093676,0.110468128260975,0.110468128260975,0.303521248093676,0.303521248093676,0.552525156538234,0.552525156538234,0.552525156538234,0.380419471297095,0.231397738913074,0.0499093162361532,0.0499093162361532,0.231397738913074,0.231397738913074,0.231397738913074,0.231397738913074,0.181406642610526,0.13493381373857,0.770318366728116,0.770318366728116,0.552525156538234,0.110468128260975,0.110468128260975,0.110468128260975,0.110468128260975,0.019599184046302,0.46263021853224,0.46263021853224,0.749020353814103,0.110468128260975,0.0499093162361532,0.110468128260975,0.552525156538234,0.906989691064539,0.380419471297095,0.0571170262885003,0.060557663927189,0.0571170262885003,0.0571170262885003,0.181406642610526,0.022399067481488,0.019599184046302,0.00879602204842905,0.00879602204842905,0.0499093162361532,0.770318366728116
Akap9,0.501763501110994,0.328356048036908,0.068421303036211,0.328356048036908,0.380419471297095,0.935587503197374,0.935587503197374,0.935587503197374,0.935587503197374,0.685889544373936,0.317229984754996,0.713994447329885,0.852447109017226,0.992709291736675,0.976326311596056,0.852447109017226,0.501763501110994,0.380419471297095,1,0.527718223048869,0.713994447329885,0.328356048036908,0.713994447329885,0.713994447329885,0.527718223048869,0.328356048036908,0.328356048036908,0.678685898378059,0.787545171418371,0.602907035343409,0.602907035343409,0.380419471297095,0.380419471297095,0.181406642610526,0.0571170262885003,0.500335940998258,0.644782756809602,0.852447109017226,0.852447109017226,0.713994447329885,0.527718223048869,0.527718223048869,0.527718223048869,0.527718223048869,0.0593837280031465,0.685889544373936,0.685889544373936,0.685889544373936,0.328356048036908,0.181406642610526,0.328356048036908,0.16259286640736,0.328356048036908,0.678685898378059,0.500335940998258,0.39965447635382,0.068421303036211,0.068421303036211,0.820555182657446,0.363020231684544,0.713994447329885,0.317229984754996,0.500335940998258,0.602907035343409,0.852447109017226
Scarb1,0.42407770032122,0.0283267209065508,0.16259286640736,0.0283267209065508,0.019599184046302,0.683994316890565,0.683994316890565,0.683994316890565,0.843934848215476,0.242230655708756,0.0593837280031465,0.472872815541684,0.472872815541684,0.843934848215476,0.843934848215476,0.472872815541684,0.42407770032122,0.303521248093676,0.527718223048869,1,0.106928879870288,0.106928879870288,0.261751314192802,0.261751314192802,0.472872815541684,0.261751314192802,0.261751314192802,0.328356048036908,0.770318366728116,0.552525156538234,0.770318366728116,0.552525156538234,0.552525156538234,0.303521248093676,0.303521248093676,0.328356048036908,0.346011740586029,0.472872815541684,0.472872815541684,0.261751314192802,0.261751314192802,0.261751314192802,0.261751314192802,0.261751314192802,0.106928879870288,0.501763501110994,0.501763501110994,0.736578932665401,0.106928879870288,0.110468128260975,0.261751314192802,0.472872815541684,0.843934848215476,0.16259286640736,0.16259286640736,0.0692050660339212,0.16259286640736,0.16259286640736,0.852447109017226,0.181406642610526,0.261751314192802,0.0141066727948137,0.0141066727948137,0.110468128260975,0.683994316890565
Clcn1,0.71322158690387,0.106928879870288,0.0141066727948137,0.106928879870288,0.110468128260975,0.472872815541684,0.472872815541684,0.261751314192802,0.472872815541684,0.501763501110994,0.16259286640736,0.261751314192802,0.261751314192802,0.472872815541684,0.472872815541684,0.472872815541684,0.71322158690387,0.110468128260975,0.713994447329885,0.106928879870288,1,0.106928879870288,0.472872815541684,0.472872815541684,0.472872815541684,0.106928879870288,0.106928879870288,0.0593837280031465,0.552525156538234,0.552525156538234,0.770318366728116,0.552525156538234,0.303521248093676,0.110468128260975,0.110468128260975,0.0141066727948137,0.346011740586029,0.683994316890565,0.683994316890565,0.261751314192802,0.106928879870288,0.106928879870288,0.106928879870288,0.106928879870288,0.106928879870288,0.242230655708756,0.242230655708756,0.736578932665401,0.0283267209065508,0.110468128260975,0.106928879870288,0.261751314192802,0.472872815541684,0.16259286640736,0.16259286640736,0.0692050660339212,0.0593837280031465,0.0593837280031465,0.713994447329885,0.0571170262885003,0.261751314192802,0.16259286640736,0.0141066727948137,0.110468128260975,0.472872815541684
Kbtbd2,0.71322158690387,0.0283267209065508,0.0593837280031465,0.0283267209065508,0.110468128260975,0.472872815541684,0.472872815541684,0.261751314192802,0.261751314192802,0.501763501110994,0.16259286640736,0.261751314192802,0.261751314192802,0.472872815541684,0.472872815541684,0.472872815541684,0.71322158690387,0.110468128260975,0.328356048036908,0.106928879870288,0.106928879870288,1,0.472872815541684,0.472872815541684,0.683994316890565,0.261751314192802,0.261751314192802,0.0593837280031465,0.552525156538234,0.552525156538234,0.906989691064539,0.770318366728116,0.552525156538234,0.303521248093676,0.303521248093676,0.0141066727948137,0.346011740586029,0.843934848215476,0.843934848215476,0.261751314192802,0.106928879870288,0.106928879870288,0.106928879870288,0.106928879870288,0.106928879870288,0.242230655708756,0.242230655708756,0.736578932665401,0.0283267209065508,0.110468128260975,0.106928879870288,0.472872815541684,0.472872815541684,0.16259286640736,0.16259286640736,0.0692050660339212,0.0593837280031465,0.0593837280031465,0.713994447329885,0.0571170262885003,0.261751314192802,0.0593837280031465,0.0141066727948137,0.110468128260975,0.472872815541684
